Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,TOI,ES,PP,SH,ESG,PPG,SHG,GWG,OTG,ESA,PPA,SHA,GWA,OTA,ESP,PPP,SHP,GWP,OTP,PPP%,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS,FOW,FOL,FO%
1,Nathan MacKinnon,COL,29,F,59,21,66,87,29,18,22:58,19:02,3:51,0:03,16,5,0,3,1,45,21,0,12,1,61,26,0,15,2,29.9%,0.929,2.921,3.850,0.854,2.402,3.256,1.316,5.526,6.841,0.356,1.119,1.475,238,8.8%,28,47,543,559,49.27%
2,Leon Draisaitl,EDM,29,F,57,42,44,86,20,25,21:38,18:12,3:23,0:02,30,12,0,9,4,32,12,0,11,2,62,24,0,20,6,27.9%,2.043,2.140,4.183,1.735,1.850,3.585,3.723,3.723,7.447,0.737,0.772,1.509,190,22.1%,15,21,541,444,54.92%
3,Nikita Kucherov,TBL,31,F,53,26,57,83,35,13,21:42,17:49,3:52,0:00,22,4,0,7,1,29,28,0,7,1,51,32,0,14,2,38.6%,1.355,2.971,4.327,1.397,1.842,3.239,1.168,8.174,9.342,0.491,1.075,1.566,182,14.3%,19,21,0,1,0.00%
4,Connor McDavid,EDM,27,F,51,22,50,72,29,4,22:07,18:46,3:16,0:03,14,8,0,3,0,34,16,0,12,7,48,24,0,15,7,33.3%,1.170,2.659,3.830,0.877,2.130,3.007,2.873,5.745,8.618,0.431,0.980,1.412,157,14.0%,30,10,279,306,47.69%
5,Kyle Connor,WPG,28,F,58,30,41,71,23,10,20:12,16:38,2:43,0:50,19,9,2,6,1,27,14,0,13,4,46,23,2,19,5,32.4%,1.536,2.099,3.635,1.181,1.678,2.859,3.411,5.306,8.718,0.517,0.707,1.224,191,15.7%,12,34,1,7,12.50%
6,Mitchell Marner,TOR,27,F,56,16,55,71,12,10,21:26,16:10,2:59,2:16,10,5,1,5,1,35,19,1,9,2,45,24,2,14,3,33.8%,0.800,2.748,3.548,0.662,2.319,2.981,1.787,6.792,8.579,0.286,0.982,1.268,127,12.6%,33,25,4,13,23.53%
7,David Pastrnak,BOS,28,F,58,28,41,69,30,-1,20:03,16:19,3:42,0:01,22,6,0,4,3,31,10,0,13,3,53,16,0,17,6,23.2%,1.444,2.115,3.559,1.394,1.964,3.358,1.674,2.790,4.463,0.483,0.707,1.190,233,12.0%,39,12,3,4,42.86%
8,Jack Eichel,VGK,28,F,57,19,50,69,6,29,21:02,16:24,2:56,1:40,15,3,1,1,0,29,20,1,9,0,44,23,2,10,0,33.3%,0.951,2.502,3.453,0.962,1.860,2.821,1.074,7.161,8.236,0.333,0.877,1.211,178,10.7%,19,42,424,498,45.99%
9,Jack Hughes,NJD,23,F,59,26,42,68,12,12,20:54,16:48,3:15,0:50,19,6,1,7,2,20,21,1,6,1,39,27,2,13,3,39.7%,1.265,2.043,3.308,1.149,1.210,2.359,1.873,6.555,8.428,0.441,0.712,1.153,220,11.8%,6,27,238,398,37.42%
10,Jesper Bratt,NJD,26,F,59,17,51,68,14,11,18:48,14:12,2:59,1:36,12,4,1,1,0,28,22,1,11,1,40,26,2,12,1,38.2%,0.919,2.758,3.677,0.859,2.004,2.864,1.360,7.480,8.840,0.288,0.864,1.153,133,12.8%,63,30,0,3,0.00%
11,Mikko Rantanen,CAR,28,F,56,26,41,67,32,12,22:12,18:17,3:54,0:00,18,8,0,5,0,30,11,0,8,1,48,19,0,13,1,28.4%,1.254,1.978,3.233,1.055,1.758,2.812,2.196,3.019,5.215,0.464,0.732,1.196,157,16.6%,31,34,123,109,53.02%
12,Mark Scheifele,WPG,31,F,58,32,33,65,41,7,20:22,17:31,2:42,0:08,23,9,0,9,2,22,11,0,8,3,45,20,0,17,5,30.8%,1.624,1.675,3.300,1.358,1.299,2.656,3.441,4.206,7.647,0.552,0.569,1.121,125,25.6%,51,46,419,446,48.44%
13,Brandon Hagel,TBL,26,F,56,27,37,64,40,26,21:11,16:18,2:53,1:59,24,0,3,3,0,26,7,4,5,0,50,7,7,8,0,10.9%,1.365,1.870,3.235,1.576,1.708,3.284,0.000,2.600,2.600,0.482,0.661,1.143,161,16.8%,44,45,7,15,31.82%
14,Cale Makar,COL,26,D,59,22,42,64,12,16,25:46,19:54,3:42,2:09,11,9,2,3,0,25,17,0,7,0,36,26,2,10,0,40.6%,0.868,1.657,2.525,0.562,1.277,1.839,2.471,4.667,7.138,0.373,0.712,1.085,183,12.0%,42,94,0,0,0.00%
15,Martin Necas,COL,25,F,59,20,44,64,12,4,18:53,15:12,3:36,0:04,12,8,0,7,0,28,16,0,6,4,40,24,0,13,4,37.5%,1.076,2.368,3.444,0.803,1.873,2.675,2.250,4.500,6.750,0.339,0.746,1.085,143,14.0%,49,20,48,79,37.80%
16,Lucas Raymond,DET,22,F,57,22,41,63,16,-4,18:59,14:56,3:08,0:54,15,6,1,3,1,18,23,0,6,1,33,29,1,9,2,46.0%,1.219,2.273,3.492,1.057,1.268,2.325,2.007,7.692,9.699,0.386,0.719,1.105,133,16.5%,26,26,0,3,0.00%
